Receiver           gz_p_th     gz_p_solution       dGz/gz_p_th
  544           15,4047           15,4047        6,0539e-14
  545           15,1011           15,1011       6,17564e-14
  546           14,8038           14,8038       6,29966e-14
  547           14,5128           14,5128       6,41374e-14
  548            14,228            14,228       6,52964e-14
  549           13,9492           13,9492       6,64738e-14
  550           13,6765           13,6765       6,76696e-14
  551           13,4096           13,4096        6,8619e-14
  552           13,1485           13,1485       6,97116e-14
  553            12,893            12,893       7,08174e-14
  554            12,643            12,643       7,19365e-14
  555           12,3985           12,3985       7,29253e-14
  556           12,1593           12,1593       7,39216e-14
  557           11,9253           11,9253       7,47762e-14
  558           11,6965           11,6965       7,59356e-14
  559           11,4726           11,4726       7,66432e-14
  560           11,2536           11,2536       7,75031e-14
  561           11,0394           11,0394        7,8685e-14
  562             10,83             10,83       7,92229e-14
  563           10,6251           10,6251       8,00819e-14
  564           10,4247           10,4247       8,09398e-14
  565           10,2286           10,2286       8,16225e-14
  566           10,0369           10,0369       8,24737e-14
  567            9,8494            9,8494       8,33225e-14
  568           9,66599           9,66599       8,38009e-14
  569           9,48659           9,48659       8,48239e-14
  570           9,31111           9,31111       8,54686e-14
  571           9,13946           9,13946       8,62964e-14
  572           8,97156           8,97156       8,67234e-14
  573           8,80733           8,80733       8,73321e-14
  574           8,64666           8,64666       8,79277e-14
  575           8,48949           8,48949       8,85093e-14
  576           8,33574           8,33574       8,90764e-14
  577           8,18531           8,18531       8,96283e-14
  578           8,03814           8,03814       9,01643e-14
  579           7,89416           7,89416       9,05712e-14
  580           7,75327           7,75327       9,10714e-14
  581           7,61543           7,61543       9,16703e-14
  582           7,48054           7,48054       9,21359e-14
  583           7,34854           7,34854       9,27031e-14
  584           7,21937           7,21937       9,30085e-14
  585           7,09296           7,09296       9,34139e-14
  586           6,96924           6,96924       9,37978e-14
  587           6,84815           6,84815       9,41593e-14
  588           6,72963           6,72963       9,47618e-14
  589           6,61362           6,61362       9,50812e-14
  590           6,50005           6,50005        9,5376e-14
  591           6,38887           6,38887       9,55064e-14
  592           6,28003           6,28003       9,61717e-14
  593           6,17347           6,17347       9,62492e-14
  594           6,06913           6,06913       9,65868e-14
  595           5,96697           5,96697       9,70497e-14
  596           5,86693           5,86693       9,71907e-14
  597           5,76896           5,76896       9,74556e-14
  598           5,67301           5,67301       9,76948e-14
  599           5,57904           5,57904       9,79075e-14
  600             5,487             5,487       9,82549e-14
  601           5,39684           5,39684       9,85797e-14
  602           5,30853           5,30853       9,87139e-14
  603           5,22201           5,22201       9,88186e-14
  604           5,13725           5,13725       9,92389e-14
  605            5,0542            5,0542       9,92879e-14
  606           4,97282           4,97282       9,94838e-14
  607           4,89309           4,89309       9,98343e-14
  608           4,81495           4,81495       9,97943e-14
  609           4,73837           4,73837       1,00095e-13
  610           4,66332           4,66332       9,99918e-14
  611           4,58976           4,58976        1,0024e-13
  612           4,51765           4,51765       1,00464e-13
  613           4,44697           4,44697       1,00463e-13
  614           4,37767           4,37767       1,00835e-13
  615           4,30973           4,30973        1,0057e-13
  616           4,24313           4,24313       1,00893e-13
  617           4,17781           4,17781        1,0077e-13
  618           4,11377           4,11377       1,00827e-13
  619           4,05096           4,05096       1,00856e-13
  620           3,98936           3,98936       1,01077e-13
  621           3,92895           3,92895       1,01275e-13
  622           3,86969           3,86969       1,01219e-13
  623           3,81157           3,81157       1,01248e-13
  624           3,75455           3,75455       1,01248e-13
  625           3,69861           3,69861       1,01459e-13
  626           3,64372           3,64372       1,01402e-13
  627           3,58987           3,58987       1,01563e-13
  628           3,53703           3,53703       1,01448e-13
  629           3,48518           3,48518       1,01555e-13
  630            3,4343            3,4343       1,01508e-13
  631           3,38435           3,38435       1,01432e-13
  632           3,33534           3,33534       1,01458e-13
  633           3,28722           3,28722       1,01322e-13
  634           3,23999           3,23999       1,01428e-13
  635           3,19363           3,19363        1,0151e-13
  636           3,14811           3,14811       1,01426e-13
  637           3,10342           3,10342       1,01599e-13
  638           3,05954           3,05954       1,01459e-13
  639           3,01645           3,01645       1,01289e-13
  640           2,97414           2,97414       1,01536e-13
  641           2,93258           2,93258       1,01308e-13
  642           2,89177           2,89177        1,0151e-13
  643           2,85169           2,85169       1,01379e-13
  644           2,81231           2,81231        1,0122e-13
  645           2,77364           2,77364        1,0119e-13
  646           2,73564           2,73564       1,01297e-13
  647           2,69831           2,69831       1,01217e-13
  648           2,66164           2,66164       1,00943e-13
  649           2,62561           2,62561       1,01144e-13
  650            2,5902            2,5902       1,01155e-13
  651            2,5554            2,5554       1,00795e-13
  652           2,52121           2,52121       1,00929e-13
  653            2,4876            2,4876       1,00686e-13
  654           2,45457           2,45457       1,00774e-13
  655            2,4221            2,4221       1,00658e-13
  656           2,39019           2,39019       1,00702e-13
  657           2,35882           2,35882       1,00347e-13
  658           2,32797           2,32797       1,00341e-13
